Group,RecordID,ParentID,DirectionFamily
1,1,1,1
1,2,2,2
1,3,3,3
1,4,4,4
1,5,5,5
1,6,6,6
1,7,7,6
1,8,8,7
1,9,3,3
1,10,2,2
1,11,9,1
1,12,1,1
2,1,1,1
2,2,2,2
2,3,3,3
2,4,4,4
2,5,5,5
2,6,6,6
2,7,7,7
2,8,8,8
2,9,9,9
2,10,10,10
2,11,11,11
2,12,12,12
2,13,13,13
2,14,14,14
2,15,15,8
2,16,16,15
2,17,17,1
2,18,18,16
2,19,19,17
2,20,20,9
2,21,21,18
2,22,22,19
2,23,23,20
2,24,24,21
2,25,25,22
2,26,26,23
2,27,27,19
2,28,28,13
2,29,29,24
2,30,30,13
2,31,31,25
2,32,32,26
2,33,33,27
2,34,34,28
2,35,35,17
2,36,36,26
2,37,37,20
2,38,7,7
2,39,10,10
2,40,38,3
2,41,39,1
2,42,6,6
2,43,3,3
2,44,11,11
2,45,4,4
2,46,5,5
2,47,1,1
2,48,9,9
2,49,2,2
3,1,1,1
3,2,2,2
3,3,3,3
3,4,4,4
3,5,5,5
3,6,6,6
3,7,7,7
3,8,8,8
3,9,9,9
3,10,10,10
3,11,11,11
3,12,12,12
3,13,13,13
3,14,14,14
3,15,15,15
3,16,16,16
3,17,17,17
3,18,18,18
3,19,19,19
3,20,20,20
3,21,21,21
3,22,22,22
3,23,23,23
3,24,24,24
3,25,25,25
3,26,26,26
3,27,27,27
3,28,28,28
3,29,29,29
3,30,30,30
3,31,31,31
3,32,32,32
3,33,33,33
3,34,34,34
3,35,35,35
3,36,36,36
3,37,37,37
3,38,38,38
3,39,39,39
3,40,40,40
3,41,41,41
3,42,42,42
3,43,43,43
3,44,44,44
3,45,45,45
3,46,46,46
3,47,47,47
3,48,48,48
3,49,49,49
3,50,50,50
3,51,51,51
3,52,52,52
3,53,53,53
3,54,54,54
3,55,55,55
3,56,56,56
3,57,57,57
3,58,58,58
3,59,59,59
3,60,60,60
3,61,61,61
3,62,62,62
3,63,63,63
3,64,64,64
