RecordID,OriginalExcelRow,x1,y1,z1,x2,y2,z2,SegmentLength,ux,uy,uz,DirectionFamily,TouchXMin,TouchXMax,TouchYMin,TouchYMax,TouchZMin,TouchZMax
1,3,-5000,-460.898289390296,-273.23245049489,-3512.12594512394,-404.979103320158,-500,1506.09418033954,0.9879023996631,0.0371286117429465,-0.150566646140274,1,1,0,0,0,0,0
2,4,-5000,-192.583780408597,50.2861991895686,-826.711283177028,226.126989945019,-500,4230.18584984047,0.986549732083368,0.0989816488486922,-0.130085584587335,2,1,0,0,0,0,0
3,5,-5000,-143.414420351492,218.690227529327,-3181.83808795686,151.850100006258,318.205894642448,1844.66724462366,0.985631374624466,0.160063838732058,0.0539477607157404,3,1,0,0,0,0,0
4,6,-5000,-31.8043625940113,-200.10393428969,-1929.53238410003,108.400845346282,-0.786882742922217,3080.12275204436,0.996865340468012,0.0455193572552377,0.0647107494058397,4,1,0,0,0,0,0
5,7,-5000,-24.3939133305471,-161.974770248318,-2024.41608957997,-500,-313.165070078707,3017.14422333278,0.986225281313584,-0.157634521741255,-0.0501103986548518,5,1,0,0,0,0,0
6,8,-5000,-14.0725596141766,281.931898702774,-2323.38920016757,-71.012294660458,297.870754283097,2677.26381858866,0.999756087259052,-0.0212678835200849,0.00595341238680217,6,1,0,0,0,0,0
7,9,-5000,-10.9123393011085,138.872240038616,-3449.63264509039,-144.842051888255,171.715758761894,1556.48796969499,0.99606767613721,-0.0860460955656417,0.0211010424511756,7,1,0,0,0,0,0
8,10,-5000,85.6463529482064,-446.561220389142,-4173.94384524883,33.2672984059111,-500,829.438387900712,0.995922261136114,-0.0631500245302914,-0.0644276662261922,8,1,0,0,0,0,0
9,11,-5000,270.675162840378,-248.900081210053,-3079.42375967721,104.273670959877,-500,1944.05599729246,0.987922283616123,-0.0855950096665181,-0.129162904329742,9,1,0,0,0,0,0
10,12,-5000,300.316348054142,115.435676374726,-3128.15310165583,291.66119757681,218.054960707695,1874.6776896276,0.998489985078985,-0.00461687388995987,0.0547396946689828,10,1,0,0,0,0,0
11,13,-5000,307.50626190705,-131.057049605648,-1958.79173514694,114.169942843126,-325.954298674494,3053.57357536614,0.995950544433305,-0.0633147734259987,-0.0638259548226136,11,1,0,0,0,0,0
12,14,-4850.28126750738,82.5010658474648,-222.18011252894,147.723911234192,170.890609581654,-332.323300384175,5000,0.999601035748314,0.0176779087468378,-0.022028637571047,12,0,0,0,0,0,0
13,15,-4467.83177333225,246.977030225627,3.06238206404549,-1537.93061123045,500,398.703158402811,2967.30063640691,0.987396129045287,0.0852704194074373,0.133333566368201,13,0,0,0,0,0,0
14,16,-4320.97782889831,-411.653921511031,368.315645023836,669.713064161411,-154.034754426643,205.10787964038,4999.99999999999,0.998138178611945,0.0515238334168777,-0.0326415530766912,14,0,0,0,0,0,0
15,17,-4173.94384524883,33.2672984059111,500,-472.203575007085,-201.454825993499,260.529013263423,3716.89680479571,0.995922261136114,-0.0631500245302911,-0.0644276662261918,8,0,0,0,0,0,0
16,18,-3571.27624542796,181.81815690851,361.831173792362,1420.41208784988,34.5184054987683,114.141112117339,5000,0.998337666655567,-0.0294599502819483,-0.0495380123350046,15,0,0,0,0,0,0
17,19,-3512.12594512394,-404.979103320158,500,-2423.27820374441,-364.056634612063,334.048229225033,1102.18149257544,0.987902399663099,0.0371286117429468,-0.150566646140276,1,0,0,0,0,0,0
18,20,-3511.51171165783,-474.333842855282,-463.533330394968,1481.8651122767,-242.86501776371,-351.238730327768,5000,0.998675364786906,0.0462937650183144,0.02245892001344,16,0,0,0,0,0,0
19,21,-3146.96746839665,225.856272683375,291.56159429546,546.17566633094,500,-275.882596484106,3746.52557798049,0.985751480367131,0.0731727894580125,-0.151458779332674,17,0,0,0,0,0,0
20,22,-3079.42375967721,104.273670959877,500,-1082.80722210092,-68.7160618039392,238.958423042966,2021.0259153868,0.987922283616123,-0.0855950096665179,-0.129162904329742,9,0,0,0,0,0,0
21,23,-2678.97911623744,295.087071499692,-78.7997608836554,2315.72959335963,490.579233198023,-199.910127862549,5000.00000000001,0.998941741919412,0.0390984323396661,-0.0242220733957787,18,0,0,0,0,0,0
22,24,-2599.08594733317,251.652420635587,359.197054551838,-1767.0938703176,265.608771579383,500,843.937832660219,0.985845218471847,0.0165371789291677,0.166840423546756,19,0,0,0,0,0,0
23,25,-2129.21351112502,-106.724183165754,-366.358988906297,1319.672058946,-500,-292.919257117071,3472.01251981556,0.99333903618937,-0.113270276126521,0.0211519202105663,20,0,0,0,0,0,0
24,26,-1977.25732408147,66.8052381259813,-477.030271691909,2995.23503720289,342.918909852125,-31.9674028131336,5000,0.994498472256872,0.0552227343452287,0.0890125737757551,21,0,0,0,0,0,0
25,27,-1838.56689459812,294.257902005536,-367.771364687737,3100.77004810686,216.528673349028,404.82732379311,5000,0.987867388540995,-0.0155458457313016,0.154519737696169,22,0,0,0,0,0,0
26,28,-1779.52317608205,-232.026520024825,339.790039270438,3220.45837798502,-243.703331153308,346.726253723034,5000,0.999996310813414,-0.0023353622256966,0.0013872428905192,23,0,0,0,0,0,0
27,29,-1767.0938703176,265.608771579383,-500,2330.14014502607,334.338315281425,193.399172285622,4156.06216733979,0.985845218471847,0.0165371789291676,0.166840423546757,19,0,0,0,0,0,0
28,30,-1537.93061123045,-500,398.703158402811,-787.781102731041,-435.217931966297,500,759.724984160844,0.987396129045287,0.0852704194074363,0.133333566368199,13,0,0,0,0,0,0
29,31,-1028.3713146442,-236.936150294581,-334.043480856211,3965.06458500721,-14.6318438933278,-206.847917144566,5000,0.998687179930283,0.0444608612802507,0.025439112742329,24,0,0,0,0,0,0
30,32,-787.781102731041,-435.217931966297,-500,469.148871894181,-326.670872737188,-330.269786094952,1272.97437943224,0.987396129045287,0.0852704194074369,0.133333566368201,13,0,0,0,0,0,0
31,33,-568.823774163553,-394.401820150427,-168.577848702974,4417.58197113286,-166.578870825741,120.998474631548,5000,0.997281149059282,0.0455645898649372,0.0579152646669044,25,0,0,0,0,0,0
32,34,-432.469545625651,360.992158632394,471.374228106842,621.587310787169,500,411.795323271371,1064.85148373562,0.989862786043241,0.130541999040045,-0.0559504360424624,26,0,0,0,0,0,0
33,35,-134.813541478156,-364.233142148315,427.977499036112,4824.09874614606,143.9163178571,39.4249930014681,5000,0.991782457524843,0.101629892001083,-0.0777105012069287,27,0,0,0,0,0,0
34,36,74.4923033113464,-195.552670819329,257.81445243288,5000,-202.252076122608,260.705860635612,4925.51310143542,0.999998902703809,-0.00136014363687849,0.000587026801713182,28,0,1,0,0,0,0
35,37,546.17566633094,-500,-275.882596484106,1781.789933439,-408.279780026563,-465.73230236791,1253.4744220195,0.985751480367131,0.0731727894580124,-0.151458779332675,17,0,0,0,0,0,0
36,38,621.587310787169,-500,411.795323271371,4516.84438459055,13.7021538326212,191.622047894531,3935.14851626438,0.989862786043241,0.130541999040046,-0.0559504360424622,26,0,0,0,0,0,0
37,39,1319.672058946,500,-292.919257117071,2837.48166982183,326.924436201642,-260.599387853466,1527.98748018443,0.99333903618937,-0.113270276126521,0.0211519202105661,20,0,0,0,0,0,0
38,40,1570.02897422356,285.388425939953,66.2105465060182,5000,-10.9123393011085,138.872240038616,3443.51203030501,0.99606767613721,-0.0860460955656416,0.021101042451175,7,0,1,0,0,0,0
39,41,1879.39697294925,314.745567026607,-55.6435126372199,5000,300.316348054142,115.435676374726,3125.32231037239,0.998489985078985,-0.00461687388995911,0.0547396946689832,10,0,1,0,0,0,0
40,42,1890.0050389208,351.530906345968,48.4670910637461,2804.23899723811,500,98.5069701618498,927.56174555182,0.985631374624466,0.160063838732057,0.05394776071574,3,0,0,0,0,0,0
41,43,2637.2097979401,450.300306673203,86.8814599264067,3959.59822010861,500,-114.664350356616,1338.58205286218,0.9879023996631,0.037128611742947,-0.150566646140275,1,0,0,0,0,0,0
42,44,2677.83036353717,35.3271229399666,268.103692349086,5000,-14.0725596141766,281.931898702774,2322.73618141134,0.999756087259052,-0.0212678835200849,0.00595341238680225,6,0,1,0,0,0,0
43,45,2804.23899723811,-500,98.5069701618498,5000,-143.414420351492,218.690227529327,2227.77100982453,0.985631374624466,0.160063838732058,0.0539477607157404,3,0,1,0,0,0,0
44,46,3061.45554268653,430.743809973119,-6.82452456142613,5000,307.50626190705,-131.057049605648,1946.42642463387,0.995950544433305,-0.0633147734259982,-0.0638259548226133,11,0,1,0,0,0,0
45,47,3086.14091355992,-119.195940929906,-324.34062977212,5000,-31.8043625940113,-200.10393428969,1919.87724795563,0.996865340468012,0.0455193572552376,0.0647107494058397,4,0,1,0,0,0,0
46,48,3092.13444207282,280.552107085691,-65.0355561569352,5000,-24.3939133305471,-161.974770248318,1934.51292932385,0.986225281313584,-0.157634521741254,-0.0501103986548515,5,0,1,0,0,0,0
47,49,3959.59822010861,-500,-114.664350356616,5000,-460.898289390296,-273.23245049489,1053.14227422283,0.9879023996631,0.0371286117429472,-0.150566646140275,1,0,1,0,0,0,0
48,50,3977.58135981847,359.25898652865,-115.227055308326,5000,270.675162840378,-248.900081210053,1034.91808732073,0.987922283616123,-0.0855950096665174,-0.129162904329741,9,0,1,0,0,0,0
49,51,4430.2932292045,-249.743104160598,125.407235577456,5000,-192.583780408597,50.2861991895686,577.473950139756,0.986549732083368,0.0989816488486931,-0.130085584587335,2,0,1,0,0,0,0
